date,code,close,open,high,low,volume
2018/6/25,sz50,2536.46,2593.62,2595.99,2535.12,2340000000
2018/6/26,sz50,2506.72,2516.08,2519.16,2470.15,2650000000
2018/6/27,sz50,2452.64,2500.07,2512.59,2438.04,2740000000
2018/6/28,sz50,2425.18,2431.86,2461.17,2418.3,2290000000
2018/6/29,sz50,2479.91,2431.81,2481.32,2429.59,2080000000
2018/7/2,sz50,2386.38,2473.31,2473.73,2370.4,2610000000
2018/7/3,sz50,2388.98,2389.36,2395.08,2331.84,2910000000
2018/7/4,sz50,2368.43,2381.25,2403.51,2365.89,1970000000
2018/7/5,sz50,2374.36,2370.86,2398.56,2352.97,2530000000
2018/7/6,sz50,2402.62,2378.87,2422.4,2349.48,2490000000
2018/7/9,sz50,2471.29,2410.52,2471.8,2410.52,2430000000
2018/7/10,sz50,2471.23,2475.98,2477.84,2448.86,2140000000
2018/7/11,sz50,2432.28,2420.18,2443.35,2409.31,2090000000
2018/7/12,sz50,2474.62,2425.67,2490.44,2425.67,2730000000
2018/7/13,sz50,2476.86,2480.82,2481.56,2464.95,1980000000
2018/7/16,sz50,2448.76,2471.15,2484.17,2438.86,1990000000
2018/7/17,sz50,2430.44,2443.55,2446.1,2414.35,1670000000
2018/7/18,sz50,2420.76,2437.38,2458.48,2419.32,1780000000
2018/7/19,sz50,2426.16,2432.89,2452.45,2418.66,2040000000
2018/7/20,sz50,2493.76,2426.1,2506.94,2409.05,3450000000
2018/7/23,sz50,2526.81,2482.05,2533.77,2478.19,3960000000
2018/7/24,sz50,2563.58,2534.07,2579.59,2534.07,4880000000
2018/7/25,sz50,2563.69,2573.93,2573.96,2550.97,2650000000
2018/7/26,sz50,2530.99,2570.48,2578.72,2525.67,2530000000
2018/7/27,sz50,2525.09,2529.66,2541.23,2515.89,1900000000
2018/7/30,sz50,2541.31,2525.38,2562.76,2515.55,2450000000
2018/7/31,sz50,2545.12,2537.03,2553.81,2521.82,2020000000
2018/8/1,sz50,2490.25,2557.61,2570.31,2489.12,2740000000
2018/8/2,sz50,2440.31,2483.76,2485.41,2412.96,2960000000
2018/8/3,sz50,2413.5,2438.84,2452.07,2413.25,2150000000
2018/8/6,sz50,2406.54,2417.3,2448.98,2393.68,2570000000
2018/8/7,sz50,2479.78,2416.01,2480.1,2407.64,2980000000
2018/8/8,sz50,2447,2476.4,2481.84,2443.07,2360000000
2018/8/9,sz50,2504.62,2437.45,2510.36,2435.79,2660000000
2018/8/10,sz50,2503.21,2505.31,2518.11,2485.98,1940000000
2018/8/13,sz50,2478.51,2480.1,2485.23,2442.23,2290000000
2018/8/14,sz50,2469.2,2475.47,2482.71,2454.98,1710000000
2018/8/15,sz50,2408.72,2467.25,2467.45,2405.6,1980000000
2018/8/16,sz50,2405.16,2381.01,2430.92,2367.05,2550000000
2018/8/17,sz50,2374.17,2427.47,2429.68,2370.04,2060000000
2018/8/20,sz50,2409.13,2386.14,2409.13,2370.82,2300000000
2018/8/21,sz50,2452.38,2411.98,2461.14,2410.89,2440000000
2018/8/22,sz50,2450.15,2461.4,2461.4,2438.94,1610000000
2018/8/23,sz50,2461.07,2453.66,2474.69,2435.16,1890000000
2018/8/24,sz50,2472,2449.37,2496.39,2438.72,2080000000
2018/8/27,sz50,2522.34,2484.41,2522.34,2482.52,2840000000
2018/8/28,sz50,2511.15,2524.92,2530.5,2503.81,2140000000
2018/8/29,sz50,2503.48,2506.15,2515,2497.82,1820000000
2018/8/30,sz50,2479.21,2506.53,2519.4,2479.21,1820000000
2018/8/31,sz50,2474.48,2462.8,2490.46,2455.99,2620000000
2018/9/3,sz50,2465.88,2461.86,2470.51,2445.87,1830000000
2018/9/4,sz50,2500.44,2467.25,2507.04,2451.72,2060000000
2018/9/5,sz50,2441.23,2488.9,2493.47,2441.23,2130000000
2018/9/6,sz50,2416.03,2432.4,2449.83,2408.93,2090000000
2018/9/7,sz50,2437.68,2424.42,2458.26,2416.16,1840000000
2018/9/10,sz50,2413.43,2431.18,2440.11,2410.79,1800000000
2018/9/11,sz50,2398.77,2412.18,2422.94,2387.64,1810000000
2018/9/12,sz50,2381.39,2389.28,2398.73,2373.04,1680000000
2018/9/13,sz50,2415.31,2413.41,2420,2381.03,2150000000
2018/9/14,sz50,2425.42,2421.66,2434.67,2410.66,1640000000
2018/9/17,sz50,2399.88,2411.38,2418.14,2397.94,1370000000
2018/9/18,sz50,2458.77,2391.95,2459.77,2391.73,2290000000
2018/9/19,sz50,2487.08,2455.44,2505,2452.58,2900000000
2018/9/20,sz50,2487.42,2492.4,2503.1,2480.54,2290000000
2018/9/21,sz50,2573.6,2495.74,2573.6,2485.41,4180000000
2018/9/25,sz50,2547.79,2545.21,2560.72,2536.43,2430000000
2018/9/26,sz50,2582.77,2555.92,2610.59,2553.17,3370000000
2018/9/27,sz50,2575.45,2582.12,2584.07,2561.58,2300000000
2018/9/28,sz50,2606.67,2580.66,2618.83,2577.98,2880000000
2018/10/8,sz50,2486.82,2544.49,2548.89,2481.18,3370000000
2018/10/9,sz50,2491.66,2481.59,2506.27,2476.35,2170000000
2018/10/10,sz50,2494.06,2495.86,2518.61,2472.19,2040000000
2018/10/11,sz50,2390.5,2412.22,2446.37,2369.03,3690000000
2018/10/12,sz50,2444.13,2398.18,2452.69,2390.99,2900000000
2018/10/15,sz50,2412.48,2443.73,2448.26,2407.55,2050000000
2018/10/16,sz50,2415.49,2414.32,2459.88,2407,1980000000
2018/10/17,sz50,2429.21,2446.48,2451.19,2384.14,2490000000
2018/10/18,sz50,2369.07,2416.37,2416.37,2367.71,2280000000
2018/10/19,sz50,2446.32,2353.84,2451.76,2344.98,3140000000
2018/10/22,sz50,2540.15,2463.49,2566.63,2463.49,4630000000
2018/10/23,sz50,2464.81,2539.65,2544.3,2451.67,3540000000
2018/10/24,sz50,2477.49,2459.32,2530.77,2459.21,3700000000
2018/10/25,sz50,2485.1,2419.11,2486.76,2415.49,3110000000
2018/10/26,sz50,2468.91,2487,2499.76,2445.83,2880000000
2018/10/29,sz50,2389.58,2461.92,2465.37,2377.99,2870000000
2018/10/30,sz50,2415.65,2380.47,2449.29,2378.82,3250000000
2018/10/31,sz50,2451.12,2424.16,2460.84,2413.34,3450000000
2018/11/1,sz50,2460.16,2474.27,2500.12,2455.73,3770000000
2018/11/2,sz50,2542.77,2522.39,2544.19,2489.07,4730000000
2018/11/5,sz50,2511.59,2520.88,2524.65,2489.59,2830000000
2018/11/6,sz50,2499.68,2507.36,2509.64,2478.38,2210000000
2018/11/7,sz50,2482.33,2503.68,2521.15,2479.25,2620000000
2018/11/8,sz50,2486,2507.59,2511,2480.33,2030000000
2018/11/9,sz50,2434.21,2469.89,2469.89,2434.08,2800000000
2018/11/12,sz50,2444.97,2426.83,2447.46,2419.97,2290000000
2018/11/13,sz50,2462.97,2415.3,2474.82,2413.78,2770000000
2018/11/14,sz50,2429.99,2462.18,2462.18,2425.97,2700000000
2018/11/15,sz50,2459.14,2430.19,2459.43,2427.07,2470000000
2018/11/16,sz50,2461.44,2458.48,2482.44,2443.12,3150000000
2018/11/19,sz50,2492.08,2466.43,2492.08,2461.8,2970000000
2018/11/20,sz50,2446.79,2475.23,2484.01,2441.85,2690000000
2018/11/21,sz50,2451.27,2425.72,2454.46,2425.23,2190000000
2018/11/22,sz50,2437.64,2455.77,2456.91,2426.12,1640000000
2018/11/23,sz50,2399.2,2433.53,2441.32,2398.73,2120000000
2018/11/26,sz50,2401.9,2409.47,2423.46,2393.98,1620000000
2018/11/27,sz50,2394.29,2407.23,2416.44,2387.93,1500000000
2018/11/28,sz50,2421.13,2396.3,2426.66,2394.25,1710000000
2018/11/29,sz50,2401.85,2437.92,2441.42,2401.85,1980000000
2018/11/30,sz50,2428.04,2403.23,2430.65,2402.54,1930000000
2018/12/3,sz50,2488.06,2492.43,2500.57,2467.94,3540000000
2018/12/4,sz50,2496.14,2488.58,2496.81,2476.91,2380000000
2018/12/5,sz50,2481.79,2467.56,2492.32,2465.25,2050000000
2018/12/6,sz50,2434.49,2453.56,2460.23,2431.86,2170000000
